Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.07192265369252,166,127-18-4,814,778.731562720727,89.7108028911151,Tetrachloroethylene,C2Cl4,NIST17.L,272029.09776442,57322.4269521229,Blank,BW_2021_11_24
True,4.09386466160062,61,420-26-8,228,779.873983917005,62.2610925653463,"Propane, 2-fluoro-",C3H7F,NIST17.L,1124892.34649051,710752.055044523,Blank,BW_2021_11_24
True,4.1073147633626,79,1000351-11-2,2443,780.57426993501,50.7701632095922,"Benzamide, 4-methoxy-N-[4-(1-methylcyclopropyl)phenyl]-",C18H19NO2,NIST17.L,126277.839107094,33548.7165977828,Blank,BW_2021_11_24
True,4.14056779784708,70.0999984741211,107-89-1,770,782.305605170818,54.4265399531416,"Butanal, 3-hydroxy-",C4H8O2,NIST17.L,1069755.83662694,557992.23581888,Blank,BW_2021_11_24
True,4.15098379287069,60.0999984741211,64-19-7,,782.847918962024,77.648593702539,Acetic acid                         P116,C2H4O2,PMW_TOX2.L,382450.018105371,199958.930498403,Blank,BW_2021_11_24
True,4.21855465120096,56.0999984741211,58328-22-6,795,786.366028203921,69.0881826465361,5-Methyloxazolidine,C4H9NO,NIST17.L,54951.3573693801,48512.6333045464,Blank,BW_2021_11_24
True,4.28076398549573,83.0999984741211,13090-31-8,951,789.60498711791,90.9778995472799,"1,5-Diazabicyclo[3.1.0]hexane",C4H8N2,NIST17.L,239101.700054172,65182.1755860642,Blank,BW_2021_11_24
True,4.28171285398424,83,3917-15-5,864,789.654390412189,86.9130491286438,"1-Propene, 3-(ethenyloxy)-",C5H8O,NIST17.L,198216.899563531,65182.1755860642,Blank,BW_2021_11_24
True,4.35465685080891,206.900009155273,541-05-9,851,793.452254694384,93.9401705171822,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,NIST17.L,238991.548825549,121754.760990708,Blank,BW_2021_11_24
True,4.39529930343519,83.0999984741211,13905-10-7,1080,795.568323540202,73.6461407740429,"4-Hexen-3-one, 5-methyl-",C7H12O,NIST17.L,74884.4499797585,19504.3620359887,Blank,BW_2021_11_24
True,4.3996088248383,83,1119-44-4,937,795.792700845021,70.3568188704073,3-Hepten-2-one,C7H12O,NIST17.L,91286.8938886515,19504.3620359887,Blank,BW_2021_11_24
