Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.10263894375173,61,4806-33-1,835,777.8927574336,50.6612780925842,"2-Butanol, 2,3-dimethyl-, acetate",C8H16O2,NIST17.L,1306441.30519004,106997.068344059,Blank,BW_2021_05_20
True,4.10267332125234,71,105-54-4,802,777.894540568349,61.138467016145,"Butanoic acid, ethyl ester",C6H12O2,NIST17.L,490804.295219882,130215.94361122,Blank,BW_2021_05_20
True,4.11667672923089,97,3975-85-7,1073,778.620886664725,75.4427264340898,"1H-Pyrazole, 4,5-dihydro-3,5,5-trimethyl-",C6H12N2,NIST17.L,555971.523448094,255780.390140854,Blank,BW_2021_05_20
True,4.11706333061674,97.0999984741211,638-04-0,785,778.640939383884,74.7559031386448,"Cyclohexane, 1,3-dimethyl-, cis-",C8H16,NIST20.L,1538154.1723445,255780.390140854,Blank,BW_2021_05_20
True,4.1313214875969,109,1000374-56-5,1260,779.380499116765,58.1158640865975,"(2-Fluorophenyl) methanol, n-butyl ether",C11H15FO,NIST17.L,384843.928559125,115439.054139937,Blank,BW_2021_05_20
True,4.20331338910919,166,127-18-4,814,783.114664165317,75.0198163044159,Tetrachloroethylene,C2Cl4,NIST17.L,287991.499544365,60144.6026939788,Blank,BW_2021_05_20
True,4.21888348923228,69.0999984741211,1000306-14-1,,783.922273388865,55.6525834286941,Diphenyltrifluorophosphorane,C12H10F3P,NIST20.L,378918.381017778,79702.7395282941,Blank,BW_2021_05_20
True,4.34048222438154,56.0999984741211,123-86-4,812,790.22950708049,93.6198612744274,"Acetic acid, butyl ester",C6H12O2,NIST17.L,1054844.40627085,489076.608824229,Blank,BW_2021_05_20
True,4.40908872337132,83.0999984741211,1000113-52-1,799,793.788073881055,85.0199603009837,"2,3,3-Trimethyl-1-hexene",C9H18,NIST20.L,364074.933655611,114652.252490025,Blank,BW_2021_05_20
True,4.48309931136628,207,541-05-9,851,797.62694665852,87.7801566224339,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,NIST17.L,189967.02432705,87649.3219614252,Blank,BW_2021_05_20
True,4.62539571974698,83.0999984741211,1678-91-7,836,805.007752881828,88.8603454508352,"Cyclohexane, ethyl-",C8H16,NIST17.L,155712.622948343,76799.1198148567,Blank,BW_2021_05_20
True,4.93117270286543,89,21983-72-2,821,820.868171887673,66.9670545212442,"3,3-Dimethoxy-2-butanone",C6H12O3,NIST20.L,255981.942169395,43775.0477130908,Blank,BW_2021_05_20
True,5.06105165438324,74,106-61-6,1093,827.604894089928,70.1760792594042,"1,2,3-Propanetriol, 1-acetate",C5H10O4,NIST17.L,253638.06224748,60969.8474377333,Blank,BW_2021_05_20
True,5.21388840734181,91,100-41-4,855,835.532419951077,97.973033041588,Ethylbenzene,C8H10,NIST17.L,6975501.38919867,3638858.03450594,Blank,BW_2021_05_20
True,5.22138701895573,104,39885-14-8,854,835.921367218939,76.5126192411442,"Methanamine, 1-methoxy-N-methyl-N-nitroso-",C3H8N2O2,NIST17.L,45570.4835745438,39293.063361305,Blank,BW_2021_05_20
True,5.38138204069325,91,108-38-3,866,844.22018702456,97.5840348012943,"Benzene, 1,3-dimethyl-",C8H10,NIST17.L,32117125.5740667,12969260.7518157,Blank,BW_2021_05_20
True,5.4425129124082,56,2415-72-7,609,847.390998737409,87.560792860284,"Cyclopropane, propyl-",C6H12,NIST17.L,178678.948522052,94067.802036935,Blank,BW_2021_05_20
True,5.74004579764125,59.0999984741211,107954-65-4,1011,862.823802670812,58.4456439938656,"2,3-Dimethyl-5,6-dihydro-1,4-oxathiine",C6H10OS,NIST17.L,15550.0847045853,10938.1162485875,Blank,BW_2021_05_20
True,5.85380313403722,104,100-42-5,893,868.724308986979,89.5781462377037,Styrene,C8H8,NIST17.L,2105770.17312204,854531.682209352,Blank,BW_2021_05_20
True,5.85623153039876,51,354-33-6,234,868.850268054969,60.7737560351728,"Ethane, pentafluoro-",C2HF5,NIST17.L,264700.903592173,134477.588040685,Blank,BW_2021_05_20
True,5.8957942943865,91,108-38-3,866,870.902358462414,98.0992703442568,m-Xylene,C8H10,Tesla_Libary_2021_01_01.mslibrary.xml,10963085.181299,4487299.92532797,Blank,BW_2021_05_20
True,5.90579671978269,58.0999984741211,24552-00-9,1064,871.421176642384,59.8359721424454,"Hexylamine, N-methyl-N-propyl-",C10H23N,NIST17.L,51288.1448166937,9417.29731432104,Blank,BW_2021_05_20
True,5.92888589909285,98.0999984741211,74017-10-0,782,872.61879477121,69.5465558614623,6-Oxa-bicyclo[3.1.0]hexan-3-one,C5H6O2,NIST17.L,95703.8098700708,61650.4434942504,Blank,BW_2021_05_20
True,5.92905931034553,55,10493-98-8,926,872.627789480687,90.7974302355547,"2-Cyclopenten-1-one, 2-hydroxy-",C5H6O2,NIST17.L,149174.009117846,60494.1929085455,Blank,BW_2021_05_20
True,6.26194850985863,57.0999984741211,600-14-6,698,889.894498481975,68.9085507429029,"2,3-Pentanedione",C5H8O2,NIST17.L,73034.5155647532,46539.5985682181,Blank,BW_2021_05_20
True,6.60212087728444,70,1000354-72-6,1546,907.538979850588,50.8707445503069,"6-Chlorohexanoic acid, 3-methylbutyl ester",C11H21ClO2,NIST17.L,14604.0306050433,11660.4657675779,Blank,BW_2021_05_20
True,6.6454213032765,105,526-73-8,1013,909.784939936797,79.7892490131751,"Benzene, 1,2,3-trimethyl-",C9H12,NIST17.L,123997.134262821,76412.7799606259,Blank,BW_2021_05_20
True,6.67056158209736,79.0999984741211,67-71-0,922,911.088947033591,83.805599509332,Dimethyl sulfone,C2H6O2S,NIST17.L,77562.8172239941,43233.4925783746,Blank,BW_2021_05_20
True,7.04719402481142,58.0999984741211,75-31-0,477,930.624584712134,85.0219283078567,2-Propanamine,C3H9N,NIST17.L,21271.940041154,12403.4525798557,Blank,BW_2021_05_20
True,7.10224271291248,87.0999984741211,626-68-6,759,933.479918197673,75.9178238159243,"1,3-Dioxane, 2-methyl-",C5H10O2,NIST17.L,84028.8055717332,28848.258013138,Blank,BW_2021_05_20
True,7.50665880917893,106,100-52-7,962,954.456672805163,98.531918829138,Benzaldehyde,C7H6O,Tesla_Libary_2021_01_01.mslibrary.xml,739743.844741672,216718.219648477,Blank,BW_2021_05_20
True,7.66520095067937,91,1000331-10-2,1458,962.680132820487,54.8730052785159,"2-Furancarboxylic acid, 3-fluorophenyl ester",C11H7FO3,NIST17.L,93521.5641964407,38339.6508571184,Blank,BW_2021_05_20
True,7.79052082591976,70,28290-01-9,847,969.180379211834,79.7963933741744,"Cyclobutanone, 2,3,3-trimethyl-",C7H12O,NIST17.L,118524.056950598,36340.0240867362,Blank,BW_2021_05_20
True,8.07863075264871,94,108-95-2,989,984.124421471204,87.9656199149761,Phenol,C6H6O,Tesla_Libary_2021_01_01.mslibrary.xml,129134.957080134,72931.7213011875,Blank,BW_2021_05_20
True,8.33990569650707,97.0999984741211,3173-53-3,,997.676553626675,91.4008716139487,"Cyclohexane, isocyanato-",C7H11NO,NIST20.L,892241.275154725,147680.961034938,Blank,BW_2021_05_20
True,8.43347424245033,57.0999984741211,124-18-5,1000,1002.52988277295,95.3988033193937,Decane,C10H22,NIST20.L,938237.983759967,325783.182519719,Blank,BW_2021_05_20
True,8.49914744135007,280.899993896484,556-67-2,994,1005.93630153404,75.328372415178,"Cyclotetrasiloxane, octamethyl-",C8H24O4Si4,NIST17.L,209928.795235877,55622.1433653204,Blank,BW_2021_05_20
True,8.54453027745156,72,111-90-0,1007,1008.2902746451,87.5368107724101,2-(2-Ethoxyethoxy)ethanol,C6H14O3,Tesla_Libary_2021_01_01.mslibrary.xml,909935.963766459,136608.478233066,Blank,BW_2021_05_20
