Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.09758604537983,132,82736-95-6,1029,776.163165869623,65.596094443605,"1,2,4-Triazine-3,5(2H,4H)-dione, 6-fluoro-",C3H2FN3O2,NIST17.L,58032.3131907681,2726.66129977466,Blank,BW_2021_12_15
True,4.13744889149692,73.0999984741211,19594-02-6,1244,778.249170131886,51.4781530926214,"Benzene, (2-ethoxyethoxy)-",C10H14O2,NIST17.L,313810.669939744,75891.807244071,Blank,BW_2021_12_15
True,4.14044850621502,166,127-18-4,814,778.406138579867,95.0588838166253,Tetrachloroethylene,C2Cl4,NIST17.L,508368.762718363,81386.1666716005,Blank,BW_2021_12_15
True,4.29126482981259,56,123-86-4,812,786.298286895601,97.6459182665069,"Acetic acid, butyl ester",C6H12O2,NIST17.L,909716.0513888,406950.118730218,Blank,BW_2021_12_15
True,4.34956371637851,83,7145-20-2,789,789.349040610087,80.6915531211252,"2-Hexene, 2,3-dimethyl-",C8H16,NIST20.L,187630.530018534,46199.5548392975,Blank,BW_2021_12_15
True,4.43362882838339,206.900009155273,541-05-9,851,793.748128960043,94.5277395063415,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,NIST17.L,471913.239755842,196009.905931994,Blank,BW_2021_12_15
True,4.56044135507028,83.0999984741211,1678-91-7,836,800.384169708367,85.1995793874436,"Cyclohexane, ethyl-",C8H16,NIST17.L,120568.59100633,41916.6614201797,Blank,BW_2021_12_15
True,4.72624700588997,60,2078-71-9,1170,809.060702570602,78.3135046301146,"Urea, (2-hydroxyethyl)-",C3H8N2O2,NIST17.L,9160.36922940121,1192.09611206062,Blank,BW_2021_12_15
True,5.12936554386632,102,1000420-24-9,1418,830.155708831465,60.2142532313591,"Carbonic acid, monoamide, N-heptyl-, ethyl ester",C10H21NO2,NIST17.L,14216.0304318389,7780.1828017393,Blank,BW_2021_12_15
True,5.1530439894166,91,100-41-4,855,831.394790912974,97.8946225133916,Ethylbenzene,C8H10,NIST17.L,1532647.8745154,786160.606232594,Blank,BW_2021_12_15
True,5.15831950901422,50,1000306-13-4,,831.670856408497,67.0951416876567,Methyltetrafluorophosphorane,CH3F4P,NIST20.L,42381.4459730381,2383.9626613465,Blank,BW_2021_12_15
True,5.31945708622722,91,108-38-3,866,840.103111142384,98.9218100487008,"Benzene, 1,3-dimethyl-",C8H10,NIST17.L,7073643.44629194,2785401.77372274,Blank,BW_2021_12_15
True,5.62285753989346,88,1000404-44-7,1328,855.979916267168,52.6679415042979,"ethanol, 2-[[2-(2-hydroxyethoxy)ethyl]methylamino]-",C7H17NO3,NIST17.L,20828.234336592,8506.06956079095,Blank,BW_2021_12_15
True,5.79759710078229,104,100-42-5,893,865.123956502764,78.5846116875866,Styrene,C8H8,NIST17.L,741158.548469947,361905.69188256,Blank,BW_2021_12_15
True,5.83565279673705,91,108-38-3,866,867.115393434584,91.2271859022153,"1,3-Dimethylbenzene",C8H10,Tesla_Libary_2021_01_01.mslibrary.xml,2593051.98477145,1162977.27425633,Blank,BW_2021_12_15
True,6.36037985764715,61,5271-38-5,843,894.574117339244,57.478884140656,"Ethanol, 2-(methylthio)-",C3H8OS,NIST17.L,60217.6418313653,67334.2496099955,Blank,BW_2021_12_15
True,6.79035229098187,93,13258-63-4,1130,917.074375498363,63.2353309385094,4-(2-Aminoethyl)pyridine,C7H10N2,NIST17.L,16278.8226351776,13667.687495454,Blank,BW_2021_12_15
True,7.28449596467394,91,1000334-31-3,1815,942.932684924242,67.1906464948238,1-benzylindole,C15H13N,NIST17.L,10843.3439182832,6428.28915137871,Blank,BW_2021_12_15
True,7.46249344947484,106,13134-11-7,1217,952.247210808222,68.9807841135702,"Propanedinitrile, (1,3-dimethylbutylidene)-",C9H12N2,NIST17.L,107262.738383539,43553.566089724,Blank,BW_2021_12_15
True,7.52755704734538,192.900009155273,1000429-63-9,1521,955.65195873007,72.4424365613865,4-Methoxyphenylaldehyde trimethylene acetal,C11H14O3,NIST17.L,43796.5441387178,24402.8033261301,Blank,BW_2021_12_15
True,7.80809931608175,56.0999984741211,626-89-1,846,970.332605631448,64.3230526866833,"1-Pentanol, 4-methyl-",C6H14O,NIST17.L,8640.99507483587,5834.79962600073,Blank,BW_2021_12_15
True,8.06916356865016,94,108-95-2,989,983.99397697414,50.6322410260471,Phenol,C6H6O,Tesla_Libary_2021_01_01.mslibrary.xml,231798.873033525,71706.3841039021,Blank,BW_2021_12_15
True,8.06924256582327,207,67131-97-9,2574,983.998110859597,67.8803728238621,p-Cyanophenyl p-(2-propoxyethoxy)benzoate,C19H19NO4,NIST17.L,96861.6837506984,38670.2390042116,Blank,BW_2021_12_15
True,8.45114373506136,280.899993896484,,1009,1003.9828220479,64.8199278504255,GC_BPMZ_281_RI_1009,,Tesla_Libary_2021_01_01.mslibrary.xml,174843.457627372,63667.9210388714,Blank,BW_2021_12_15
True,8.58106672887281,93,13466-78-9,1011,1010.78163209926,81.6221343553514,3-Carene,C10H16,NIST20.L,55620.0291726807,12951.11033361,Blank,BW_2021_12_15
True,8.97820606322352,93,1461-27-4,1027,1031.56374940555,70.5332177717764,"Cyclohexene, 1-methyl-5-(1-methylethenyl)-, (R)-",C10H16,NIST20.L,61897.7616980534,9646.13191101064,Blank,BW_2021_12_15
True,9.03094247438018,57,104-76-7,1030,1034.32342135988,81.7312643565677,"1-Hexanol, 2-ethyl-",C8H18O,Tesla_Libary_2021_01_01.mslibrary.xml,74010.1557245262,25034.0754403689,Blank,BW_2021_12_15
True,9.2675827013763,115,1000415-04-3,2380,1046.70669476406,55.7214661461645,"1-Naphthaleneacetic acid, but-3-yn-2-yl ester",C16H14O2,NIST17.L,9473.4334612916,2497.7630169678,Blank,BW_2021_12_15
True,9.60069346830178,57.0999984741211,17301-24-5,1216,1064.138226812,78.5265647825902,"Undecane, 2,7-dimethyl-",C13H28,NIST17.L,178515.462266154,21286.3869273229,Blank,BW_2021_12_15
True,9.78941993489309,77,29743-27-9,868,1074.01419534056,64.3290626488774,"4,6-Heptadiyn-3-one",C7H6O,NIST17.L,61452.9439014494,23494.9139841157,Blank,BW_2021_12_15
True,9.89436248754818,105,1850-14-2,830,1079.50579048378,65.7249205571544,Tetramethyl orthocarbonate,C5H12O4,NIST17.L,9989.71172198322,2855.41407085663,Blank,BW_2021_12_15
True,10.065744718775,119,104-87-0,1079,1088.47414321416,92.0842027285532,"Benzaldehyde, 4-methyl-",C8H8O,NIST17.L,98789.0001873697,31021.1486235347,Blank,BW_2021_12_15
True,10.1336911980344,119,1671-77-8,1440,1092.02975098298,69.2902968278107,"1-Pentanone, 1-(4-methylphenyl)-",C12H16O,NIST17.L,6967.80305501701,15941.280132087,Blank,BW_2021_12_15
True,10.3561159467046,169,1000348-88-6,1881,1103.66913499474,64.6745867813175,"Fumaric acid, pentyl trans-hex-3-enyl ester",C15H24O4,NIST17.L,9966.63900804757,4474.11291070721,Blank,BW_2021_12_15
True,10.4284147508387,57.0999984741211,1120-21-4,1100,1107.4524979071,82.7767497316169,Undecane,C11H24,Tesla_Libary_2021_01_01.mslibrary.xml,167815.902419792,46373.612355464,Blank,BW_2021_12_15
True,10.4720595696258,71,17302-27-1,1108,1109.73641104637,56.8449061536067,"2,5-Dimethylnonane",C11H24,Tesla_Libary_2021_01_01.mslibrary.xml,66631.9555199917,17984.691583654,Blank,BW_2021_12_15
True,10.5842982804196,81.0999984741211,89-82-7,1237,1115.60981076347,73.8503561541771,Pulegone,C10H16O,NIST17.L,116660.736820859,22678.5928345033,Blank,BW_2021_12_15
True,10.7365400349687,140,826-36-8,1306,1123.57655122026,91.4640335729804,"4-Piperidinone, 2,2,6,6-tetramethyl-",C9H17NO,NIST17.L,363964.274481829,114226.976556382,Blank,BW_2021_12_15
True,10.7629613270429,266.899993896484,33617-38-8,1682,1124.95916518915,73.9269546713883,"2,4-Dihydroxybenzaldehyde, 2TMS derivative",C13H22O3Si2,NIST17.L,10407.1411691877,14235.8134596104,Blank,BW_2021_12_15
True,10.8372641356765,140,1000437-37-3,1452,1128.84739672817,57.4426670577362,"Carbamic acid, N-methyl-N-(hept-2-yl)-, propargyl ester",C12H21NO2,NIST17.L,24698.063099654,18276.719097818,Blank,BW_2021_12_15
True,10.898977917762,81.0999984741211,1000431-67-9,1175,1132.07685034251,81.8364573780563,1-Methylbicyclo(4.4.0)decane(trans),C11H20,NIST17.L,71479.2033937099,9702.93869726561,Blank,BW_2021_12_15
True,11.0581389002643,83.0999984741211,4292-92-6,1135,1140.40567079127,62.7182742144532,"Cyclohexane, pentyl-",C11H22,NIST20.L,55964.1027881023,13414.7925768432,Blank,BW_2021_12_15
True,11.3112951589074,95,15232-85-6,1159,1153.65322047693,74.2201719447325,"Cyclohexene, 1-pentyl-",C11H20,NIST20.L,100963.349894734,9465.76174411924,Blank,BW_2021_12_15
True,11.338638433253,169,17357-88-9,1610,1155.08408135078,59.158427093858,2-Cyano-3-methylquinoxaline,C10H7N3,NIST17.L,22605.7379739649,3205.3043620779,Blank,BW_2021_12_15
True,11.4831066014621,73.0999984741211,541-02-6,1163.45723951715,1162.64403363719,82.3876855803445,Decamethylcyclopentasiloxane,C10H30O5Si5,Tesla_Libary_2021_01_01.mslibrary.xml,174786.872900148,31403.9429635417,Blank,BW_2021_12_15
True,11.6161699564637,108,55090-43-2,2100,1169.60717733417,52.3128683772685,"1H-1,2-Diazepine-1-carboxamide, 3-methyl-N-phenyl-",C13H13N3O,NIST17.L,45056.257653548,15642.4915622691,Blank,BW_2021_12_15
True,11.7230228288503,81.0999984741211,15232-85-6,1159,1175.19873862357,69.1495071146794,"Cyclohexene, 1-pentyl-",C11H20,NIST17.L,78432.2077875591,9232.67878033433,Blank,BW_2021_12_15
True,11.9318899352949,128,91-20-3,1185.33028694828,1186.12865750117,92.1678991526525,Naphthalene,C10H8,Tesla_Libary_2021_01_01.mslibrary.xml,77649.7530958384,45995.9318988962,Blank,BW_2021_12_15
True,11.9733344661609,119,833-85-2,1797,1188.29743059329,63.6026781527504,"Benzenepentanoic acid, 4-methyl-.delta.-oxo-",C12H14O3,NIST17.L,171845.551513895,22172.5978203441,Blank,BW_2021_12_15
True,12.0615104131279,83,112-41-4,1197,1192.91163703158,82.9295369667749,1-Dodecene,C12H24,Tesla_Libary_2021_01_01.mslibrary.xml,294154.625625668,43734.3604283449,Blank,BW_2021_12_15
True,12.1489108816176,97.0999984741211,14044-41-8,883,1197.48526304057,70.683756274883,"2-Pyrazoline, 1,3,4-trimethyl-",C6H12N2,NIST17.L,30335.4165565841,10551.2806820613,Blank,BW_2021_12_15
True,12.2009410797537,57,112-40-3,1200,1200.26088383782,90.2544462092054,Dodecane,C12H26,Tesla_Libary_2021_01_01.mslibrary.xml,679191.595315512,169594.319268461,Blank,BW_2021_12_15
True,12.4355737410097,57,17312-80-0,1212.14265774729,1215.66237024783,69.4974035973026,"2,4-Dimethylundecane",C13H28,Tesla_Libary_2021_01_01.mslibrary.xml,268171.601845909,61900.8271494203,Blank,BW_2021_12_15
True,12.4405470174745,69,1000305-85-6,1211,1215.98882032292,52.9431126910528,"2-Methoxymethyl-2-methyl-3-oxobutyric acid, ethyl ester",C9H16O4,NIST20.L,93648.3838152311,17174.3434899902,Blank,BW_2021_12_15
