InChiKey_GC_Name,ID_UALib,Name1_UALib,Name2_UALib,CAS_UALib,Formel_UALib,BPMZ_UALib,RT_UALib,RI_UALib,MW_UALib,Bem_UALib,MF_UALib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_135_RI_1704,168,,GC_BPMZ_135_RI_1704,,,135,19.2069,1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_150_RI_1980,169,,GC_BPMZ_150_RI_1980,,,150,22.1715,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_149_RI_1902,171,,GC_BPMZ_149_RI_1902,,,149,21.3699,1902,,Weichmacher/ Phthalat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUGWFWQVYXATQ-UHFFFAOYSA-N,172,N-Phenylbenzenesulfonamide,Benzenesulfonanilide,1678-25-7,C12H11NO2S,92,22.8676,2072,233.0510498,Fungizid,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_116_RI_1497,174,,GC_BPMZ_116_RI_1497,,,116,16.6626,1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_152_RI_1674,175,,GC_BPMZ_152_RI_1674,,,152,18.8579,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POAOYUHQDCAZBD-UHFFFAOYSA-N,177,2-Butoxyethan-1-ol,2-Butoxyethanol,111-76-2,C6H14O2,57,5.8891,910,118.0993797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZXVVIKMMTCNHIH-UHFFFAOYSA-N   ,178,"1,2,3,4,5-Pentamethylcyclopentane","Cyclopentane, 1,2,3,4,5-pentamethyl-",1000152-79-7,C10H20,84,6.1426,905,140.156501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFDZBHWFFUWGJE-UHFFFAOYSA-N,182,Benzonitrile,Benzonitrile,100-47-0,C7H5N,103,7.8794,987,103.0421992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGYZMNBUZFHYRX-UHFFFAOYSA-N,183,1-[(1-Methoxypropan-2-yl)oxy]propan-2-ol,1-[(1-Methoxypropan-2-yl)oxy]propan-2-ol,20324-32-7,C7H16O3,59,8.3326,981,148.1099444,PEG-Bruchstück,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCBTSVBFUQBNN-UHFFFAOYSA-N,186,1-({1-[(Prop-2-en-1-yl)oxy]propan-2-yl}oxy)propan-2-ol,"2-propanol, 1-[1-methyl-2-(2-propenyloxy)ethoxy]-",55956-25-7,C9H18O3,59,8.4542,984,174.1255944,PEG-Bruchstück,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOLPKOWCPVGUCA-UHFFFAOYSA-N,187,1-(2-Methoxypropoxy)propan-2-ol,1-(2-Methoxypropoxy)-2-propanol,13429-07-7,C7H16O3,59,8.6914,1010,148.1099444,PEG-Bruchstück,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOLPKOWCPVGUCA-UHFFFAOYSA-N,188,1-(2-Methoxypropoxy)-propan-2-ol,Dipropylene glycol monomethyl ether (Salt/Mix),1321-21-7,C7H16O3,59,8.751,1010,148.109944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_101_RI_1024,189,,GC_BPMZ_101_RI_1024,,,101,8.7747,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMKMZRBPOSNUMX-UHFFFAOYSA-N,190,"2,2'-Oxydi(propan-1-ol)","2,2'-Oxybis-1-propanol",108-61-2,C6H14O3,59,9.0003,1042,134.0942943,Lösungsmittel / Weichmacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WVDDGKGOMKODPV-UHFFFAOYSA-N,192,Phenylmethanol,Benzyl alcohol,100-51-6,C7H8O,108,9.0801,1036,108.0575149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XSNQECSCDATQEL-UHFFFAOYSA-N,193,"2,6-Dimethyloct-7-en-2-ol",Dihydromyrcenol,18479-58-8,C10H20O,59,9.8601,1064,156.1514153,related CAS 25279-08-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWDCLRJOBJJRNH-UHFFFAOYSA-N,194,4-Methylphenol,p-Cresol,106-44-5,C7H8O,107,10.0021,1077,108.0575149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPYUJUBAXZAQNL-UHFFFAOYSA-N,195,2-Chlorobenzaldehyde,2-Chlorobenzaldehyde,89-98-5,C7H5ClO,139,10.7344,1105,140.0028925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOOLISFMXDJSKH-UHFFFAOYSA-N,197,5-Methyl-2-(propan-2-yl)cyclohexan-1-ol,Menthol,1490-04-6,C10H20O,95,11.7572,1169,156.1514153,Duftstoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAYXUHPQHDHDDZ-UHFFFAOYSA-N,198,2-(2-Butoxyethoxy)ethan-1-ol,2-(2-Butoxyethoxy)ethanol,112-34-5,C8H18O3,57,12.0433,1186,162.1255944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCEHBMOGCRZNNI-UHFFFAOYSA-N,199,1-Benzothiophene,Benzothiophene,95-15-8,C8H6S,134,12.0855,1188,134.0190214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSRDNPVYGSFUMD-UHFFFAOYSA-N,200,(3-Chlorophenyl)methanol,3-Chlorobenzyl alcohol,873-63-2,C7H7ClO,107,12.5011,1216,142.0185425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUVLMZNMSPJDON-UHFFFAOYSA-N,202,1-[(1-Butoxypropan-2-yl)oxy]propan-2-ol,1-[(1-Butoxy-2-propanyl)oxy]-2-propanol,29911-28-2,C10H22O3,59,12.9197,1238,190.1568946,PEG-Bruchstück,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKGGYBADQZYZPD-UHFFFAOYSA-N,204,4-Phenylbutan-2-one,Benzylacetone,2550-26-7,C10H12O,148,12.9655,1232,148.088815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNBCGVPSRHMZDO-UHFFFAOYSA-N  ,208,,1-[(1-Propoxypropan-2-yl)oxy]propan-2-yl acetate,1000378-33-1,C11H22O4,101,13.2393,1323,218.151809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWHOZHOGCMHOBV-UHFFFAOYSA-N,209,4-Phenylbut-3-en-2-one,Methyl styryl ketone,122-57-6,C10H10O,131,14.7599,1337,146.0731649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LXOFYPKXCSULTL-UHFFFAOYSA-N,212,"2,4,7,9-Tetramethyldec-5-yne-4,7-diol","2,4,7,9-Tetramethyl-5-decyne-4,7-diol",126-86-3,C14H26O2,109,15.5293,1407,226.1932801,"Surfunyl, Tensid, in Farben/Druckertinten",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_99_RI_1515,214,,GC_BPMZ_99_RI_1515,,,99,16.904,1515,,"Phosporic acid - Verbindung, Flammschutzmittel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_85_RI_1563,215,,GC_BPMZ_85_RI_1563,,,85,17.5093,1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWCCWEUUXYIKHB-UHFFFAOYSA-N,216,Diphenylmethanone,Benzophenone,119-61-9,C13H10O,105,18.3925,1635,182.0731649,"Fotoinhibitor, UV-Härter/Schutz in Kosmetika/Verpackungen",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_173_RI_1641,217,,GC_BPMZ_173_RI_1641,,,173,18.4633,1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGRWYDHXPHLNKA-UHFFFAOYSA-N,218,"N,N'-(Ethane-1,2-diyl)bis(N-acetylacetamide)",Tetraacetylethylenediamine,10543-57-4,C10H16N2O4,127,18.4861,1689,228.111007,Bleichmittel - Aktivator in Waschmitteln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVWWIYGFBYDJQC-UHFFFAOYSA-N,219,Methyl (3-oxo-2-pentylcyclopentyl)acetate,Methyl dihydrojasmonate,24851-98-7,C13H22O3,83,18.6353,1649,226.1568946,Hedione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMMIRFKUKVHGTQ-UHFFFAOYSA-N  ,220,,Butyl dodecyl ether,1000406-40-3,C16H34O,57,18.7862,1675,242.260965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDOFJDLLWVCMRU-UHFFFAOYSA-N,222,Bis(2-methylpropyl) hexanedioate,Diisobutyl adipate,141-04-8,C14H26O4,129,18.9505,1695,258.1831093,"Weichmacher, plasticizer for hair fixatives and nail polishes, DIBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTHPHGWTOWIKBU-UHFFFAOYSA-N  ,223,,"Phthalic acid, methyl 2-pentyl ester",1000315-55-1,C14H18O4,163,19.3939,1774,250.120509,Weichmacher/ Phthalat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXVMODFDROLTFD-UHFFFAOYSA-N,224,"3,6,9,12-Tetraoxahexadecan-1-ol","3,6,9,12-Tetraoxahexadecan-1-ol",1559-34-8,C12H26O5,89,19.7047,1744,250.1780239,"Tensid, PEG-Ether des Butylalkohols (C4). durchschnittliche Anzahl der Molekueleinheit -CH2-CH2-O-, auch ""Anzahl""ethylene glycol monobutyl ether z.B. Tetraethylene glycol monobutyl ether",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYYVLZVUVIJVGH-UHFFFAOYSA-N,227,"1,3,7-Trimethyl-3,7-dihydro-1H-purine-2,6-dione",Caffeine,58-08-2,C8H10N4O2,194,20.9141,1835,194.0803756,"auf Wirkstoffliste, ca 2 t/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKVLJDBLLKNOQZ-UHFFFAOYSA-N,229,"N-(2-Ethylhexyl)-3,5,5-trimethylhexanamide","Hexanamide, 3,5,5-trimethyl-N-2-ethylhexyl-",1000419-85-1,C17H35NO,158,21.1274,1898,269.271864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXWNKGSJHAJOGX-UHFFFAOYSA-N,231,Hexadecan-1-ol,1-Hexadecanol,36653-82-4,C16H34O,83,21.2356,1880,242.2609657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTMZUYHXZPUDRF-UHFFFAOYSA-N,232,"7,9-Di-tert-butyl-1-oxaspiro[4.5]deca-6,9-diene-2,8-dione","7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",82304-66-3,C17H24O3,205,21.6607,1923,276.1725446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_57_RI_1948,233,,GC_BPMZ_57_RI_1948,,,57,21.8505,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPCSVZSSVZVIGE-UHFFFAOYSA-N,234,Hexadecanoic acid,Hexadecanoic acid,57-10-3,C16H32O2,73,22.0052,1968,256.2402303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBFCDTFDPHXCNY-UHFFFAOYSA-N,236,Icosane,Eicosane,112-95-8,C20H42,71,22.3715,2000,282.3286514,KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOACQWFUEYGCCF-UHFFFAOYSA-N  ,237,Ethyl hexyl phosphonate,"Phosphonic acid, ethyl hexyl ester",1656-73-1,C8H19O3P,83,22.471,1329,194.107182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNRAEZULKWNOQO-NTCAYCPXSA-N  ,239,"(2E)-2-Benzylidene-3,4-dihydro-1(2H)-naphthalenone",Dibutyl phthalate,6261-32-1,C17H14O,233,22.8013,2095,234.1044655,Weichmacher/ Phthalat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_111_RI_2097,240,,GC_BPMZ_111_RI_2097,,,111,23.3192,2097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNAZRRHPUDJQCJ-UHFFFAOYSA-N,241,Henicosane,Heneicosane,629-94-7,C21H44,71,23.3661,2100,296.3443014,KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QIQXTHQIDYTFRH-UHFFFAOYSA-N,242,Octadecanoic acid,Octadecanoic acid,57-11-4,C18H36O2,73,23.9749,2172,284.2715304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOWGUJZVBDQJKV-UHFFFAOYSA-N,243,Docosane,Docosane,629-97-0,C22H46,71,24.3149,2200,310.3599515,KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FKMHSNTVILORFA-UHFFFAOYSA-N,244,2-{2-[2-(Dodecyloxy)ethoxy]ethoxy}ethan-1-ol,Triethylene glycol monododecyl ether,3055-94-5,C18H38O4,85,24.5193,2281,318.2770097,"Tensid, PEG-Ether des Laurylalkohols (C12). Die Zahl hinter Laureth steht fuer die durchschnittliche Anzahl der Molekueleinheit -CH2-CH2-O-, auch ""Anzahl""ethylene glycol monododecyl ether z.B. Laureth-4 = Tetraethylene glycol monododecyl ether",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGWKUHGLWHMYTG-UHFFFAOYSA-N,245,"2,5,8,11,14,17,20-Heptaoxadocosan-22-ol","2,5,8,11,14,17,20-Heptaoxadocosan-22-ol",4437-01-8,C15H32O8,59,25.3204,2342,340.209719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPMWEFXCIYCJSA-UHFFFAOYSA-N,247,"3,6,9,12-Tetraoxatetracosan-1-ol",Tetraethylene glycol monododecyl ether,5274-68-0,C20H42O5,57,26.8772,2556,362.3032245,"Tensid, PEG-Ether des Laurylalkohols (C12). Die Zahl hinter Laureth steht fuer die durchschnittliche Anzahl der Molekueleinheit -CH2-CH2-O-, auch ""Anzahl""ethylene glycol monododecyl ether z.B. Laureth-4 = Tetraethylene glycol monododecyl ether",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZGNWRSFHADOMY-UHFFFAOYSA-N,248,"2,5,8,11,14,17,20,23-Octaoxapentacosan-25-ol",Octaethylene glycol monomethyl ether,25990-96-9,C17H36O9,89,27.6525,2615,384.2359327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJEGLRCXBDRGTP-UHFFFAOYSA-N  ,249,,"Terephthalic acid, di(4-octyl) ester",1000323-74-2,C24H38O4,149,28.9547,2704,390.27701,Weichmacher/ Phthalat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPRIVJANDLWOK-UHFFFAOYSA-N,250,"3,6,9,12,15-Pentaoxaheptacosan-1-ol",Pentaethylene glycol monododecyl ether,3055-95-6,C22H46O6,57,28.9996,2830,406.3294392,"Tensid, PEG-Ether des Laurylalkohols (C12). Die Zahl hinter Laureth steht fuer die durchschnittliche Anzahl der Molekueleinheit -CH2-CH2-O-, auch ""Anzahl""ethylene glycol monododecyl ether z.B. Laureth-4 = Tetraethylene glycol monododecyl ether",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YYGNTYWPHWGJRM-AAJYLUCBSA-N,251,"(6E,10E,14E,18E)-2,6,10,15,19,23-Hexamethyltetracosa-2,6,10,14,18,22-hexaene",(E)-Squalene,111-02-4,C30H50,69,29.5592,2832,410.3912516,"biogen, u.a. Hautschutzmittel,  Schmiermittel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSSHGPBKKVJJMM-UHFFFAOYSA-N,255,"3-Methyl-4-(2,6,6-trimethylcyclohex-1-en-1-yl)but-3-en-2-one","3-Methyl-4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-3-buten-2-one",79-89-0,C14H22O,191,18.8559,1583,206.1670653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIWRBSMFKVOJMN-UHFFFAOYSA-N,256,2-Methyl-1-phenylpropan-2-ol,"1,1-Dimethylphenylethanol",100-86-7,C10H14O,92,11.5014,1125,150.1044651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCGZDUFEEQNVPR-UHFFFAOYSA-N,257,"1-(2,6,6-Trimethylcyclohex-2-en-1-yl)but-3-en-1-one",.alpha.-damascone,31089-90-4,C13H20O,69,14.9968,1378,192.1514153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRJBVWJSTHECJK-UHFFFAOYSA-N,258,"3-Methyl-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",alpha-Isomethylionone,127-51-5,C14H22O,135,16.4667,1470,206.1670653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAOVKJBEBIDNHE-UHFFFAOYSA-N,260,"7-Chloro-1-methyl-5-phenyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one",Diazepam,439-14-5,C16H13ClN2O,256,27.1021,2446,284.0716407,,94.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_86_RI_867,261,,GC_BPMZ_86_RI_867,,,86,4.1256,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZZWZMUXHALBCQ-UHFFFAOYSA-N,262,"4,4'-Methylenebis(2,6-dimethylphenol)","Phenol, 4,4'-methylenebis[2,6-dimethyl-",5384-21-4,C17H20O2,241,25.4251,2313,256.1463299,,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RONZAEMNMFQXRA-UHFFFAOYSA-N,263,"2-Methyl-1,2,3,4,10,14b-hexahydropyrazino[2,1-a]pyrido[2,3-c][2]benzazepine",Mirtazapine,85650-52-8,C17H19N3,195,25.3321,2323,265.1578976,,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_253_RI_1785,264,,GC_BPMZ_253_RI_1785,,C16H22O3Si3,253,20.1202,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCDHBQLNRAQGHR-UHFFFAOYSA-N,265,9-Methyl-9H-carbazol-1-ol,1-Hydroxy-N-methylcarbazole,3449-61-4,C13H11NO,197,20.0349,1827,197.084064,,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_253_RI_2607,267,,GC_BPMZ_253_RI_2607,,C22H32O2,253,27.8198,2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_78_RI_914,268,,GC_BPMZ_78_RI_914,,,78,5.8359,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WXPWZZHELZEVPO-UHFFFAOYSA-N,269,(4-Methylphenyl)(phenyl)methanone,4-Methylbenzophenone,134-84-9,C14H12O,119,18.6358,1694,196.088815,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QZCLKYGREBVARF-UHFFFAOYSA-N,270,"Tributyl 2-(acetyloxy)propane-1,2,3-tricarboxylate",Acetyl tributyl citrate,77-90-7,C20H34O8,185,24.9435,2250,402.2253681,,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSANOGQCVHBHIF-UHFFFAOYSA-N,271,Tetradecamethylcycloheptasiloxane,"Cycloheptasiloxane, tetradecamethyl-",107-50-6,C14H42O7Si7,281,16.621,1502,518.1315394,Säule,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_327_RI_1891,273,,GC_BPMZ_327_RI_1891,,,327,21.2555,1891,,Säule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_281_RI_1009,274,,GC_BPMZ_281_RI_1009,,,281,8.4112,1009,,Säule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTLBZVNBAKMVDP-UHFFFAOYSA-N,275,Tris(2-butoxyethyl) phosphate,Tris(2-butoxyethyl) phosphate,78-51-3,C18H39O7P,125,26.2333,2363,398.2433406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHWISQNXPLXQRU-UHFFFAOYSA-N,276,Dimethylcarbamothioyl chloride,Dimethylthiocarbamoyl chloride,16420-13-6,C3H6ClNS,123,10.6677,931,122.9909481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODJJEXAWOSSON-UHFFFAOYSA-N,277,Bis(2-hydroxy-4-methoxyphenyl)methanone,"2,2'-Dihydroxy-4,4'-dimethoxybenzophenone",131-54-4,C15H14O5,151,26.8839,2422,274.0841236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBBZMDUHKWRYSZ-UHFFFAOYSA-N,278,Methyl dimethylcarbamodithioate,Methyl dimethyldithiocarbamate,3735-92-0,C4H9NS2,88,13.4095,1082,135.0176416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YVPJVAWPIRGOJN-UHFFFAOYSA-N,284,"2~5~-Phenyl-2~1~,2~2~,2~3~,2~4~,2~5~,2~6~-hexahydro-1~1~,2~1~:2~3~,3~1~-terphenyl","1,3,5-Triphenylcyclohexane, cis,trans-",28336-57-4,C24H24,91,26.7062,2471,312.1878008,,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_57_RI_2000,285,,GC_BPMZ_57_RI_2000,,,57,22.3866,2000,,"ähnlich: Undecane, 3,7-dimethyl-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDAVEASVPZDNQB-UHFFFAOYSA-N,286,"3,7-Dimethyldecane","3,7-Dimethyldecane",17312-54-8,C12H26,71,10.9262,1134,170.2034508,,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQUMJENPNGXAIH-UHFFFAOYSA-N,288,"2,5-Dimethylnonane","2,5-Dimethylnonane",17302-27-1,C11H24,57,10.4086,1108,156.1878008,,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEJYDZQQVZJMPP-ULAWRXDQSA-N,293,"1,4:3,6-Dianhydro-2,5-di-O-methyl-D-glucitol","1,4:3,6-Dianhydro-2,5-di-O-methyl-D-glucitol",5306-85-4,C8H14O4,69,13.4433,1280,174.0892089,,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEVWHTVOIZEXCC-UHFFFAOYSA-N,300,"4,7-Dimethylundecane","4,7-Dimethylundecane",17301-32-5,C13H28,57,12.5781,1224,184.2191009,,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYWJAEXIUOQBMV-YPKPFQOOSA-N   ,301,(9Z)-Docosenenitrile,(Z)-Docos-9-enenitrile,1000465-48-0,C22H41N,122,26.9571,2495,319.3239,,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNAZRRHPUDJQCJ-UHFFFAOYSA-N,302,Henicosane,Heneicosane,629-94-7,C21H44,57,23.3813,2100,296.3443014,KW,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUGNVMKQXJXZCD-UHFFFAOYSA-N,303,Propan-2-yl hexadecanoate,"Hexadecanoic acid, 1-methylethyl ester",142-91-6,C19H38O2,256,22.6503,2023,298.2871805,,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQERIDTXQFOHKA-UHFFFAOYSA-N,304,Nonadecane,Nonadecane,629-92-5,C19H40,57,21.3498,1900,268.3130013,KW,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWNUSVWFHDHRCJ-UHFFFAOYSA-N,305,1-Butoxypropan-2-ol,1-Butoxy-2-propanol,5131-66-8,C7H16O2,87,7.1616,945,132.1150298,,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZLWQVJVINEILY-UHFFFAOYSA-N,306,2-[2-(Dodecyloxy)ethoxy]ethan-1-ol,2-[2-(Dodecyloxy)ethoxy]ethanol,3055-93-4,C16H34O3,57,22.4035,2006,274.250795,,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWKFXSUHUHTGQN-UHFFFAOYSA-N,307,Decan-1-ol,1-Decanol,112-30-1,C10H22O,70,13.4946,1273,158.1670653,,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXJWXESWEXIICW-UHFFFAOYSA-N,308,2-(2-Ethoxyethoxy)ethan-1-ol,2-(2-Ethoxyethoxy)ethanol,111-90-0,C6H14O3,72,8.5481,1007,134.0942943,,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XUJLWPFSUCHPQL-UHFFFAOYSA-N,309,11-Methyldodecan-1-ol,11-Methyldodecanol,85763-57-1,C13H28O,69,15.9011,1492,200.2140155,,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBPLFHHGFOOTCA-UHFFFAOYSA-N,310,Octan-1-ol,1-Octanol,111-87-5,C8H18O,56,9.9069,1071,130.1357652,,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYUXNNBUIUGQFS-UHFFFAOYSA-N ,311,,Decyl pentyl ether,1000406-41-5,C15H32O,57,16.8501,1572,228.245316,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTJOHISYCKPIMT-UHFFFAOYSA-N,313,2-Methylundecane,2-Methylundecane,7045-71-8,C12H26,71,11.6076,1164,170.2034508,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXDAEFPNCMNJSK-UHFFFAOYSA-N,314,Benzamide,Benzamide,55-21-0,C7H7NO,105,14.494,1344,121.0527638,,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTZWVZNRDDOFEI-UHFFFAOYSA-N,315,3-Methylundecane,3-Methylundecane,1002-43-3,C12H26,71,11.7221,1170,170.2034508,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPJRQAIZZQMSCM-UHFFFAOYSA-N,316,"3,6,9,12,15,18-Hexaoxaicosane-1,20-diol","3,6,9,12,15,18-Hexaoxaicosane-1,20-diol",5617-32-3,C14H30O8,89,25.3494,2364,326.1940679,,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQSZQAHPRJMRET-UHFFFAOYSA-N   ,317,"2-(Heptan-3-yl)-1,3-dioxolane",2-Ethylhexanal ethylene glycol acetal,4359-47-1,C10H20O2,73,11.3589,1171,172.14633,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUOUKAVMFCKYKW-UHFFFAOYSA-N,318,"3-Ethyl-5,5-dimethylimidazolidine-2,4-dione","3-ethyl-5,5-dimethylimidazolidine-2,4-dione",37021-15-1,C7H12N2O2,141,13.9832,1318,156.0898776,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBPKKZHLDDMTB-UHFFFAOYSA-N,319,2-[2-(2-Butoxyethoxy)ethoxy]ethan-1-ol,2-[2-(2-Butoxyethoxy)ethoxy]ethanol,143-22-6,C10H22O4,89,16.2496,1470,206.1518092,,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMFACGCPASFAPR-UHFFFAOYSA-N,320,"N,N-Dibutylbutan-1-amine",Tributylamine,102-82-9,C12H27N,142,12.199,1169,185.2143499,,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFNALCNOMXIBKG-UHFFFAOYSA-N,321,2-(Dodecyloxy)ethan-1-ol,2-(Dodecyloxy)ethanol,4536-30-5,C14H30O2,57,19.3554,1731,230.2245802,,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
