InChiKey_GC_Name,ID_UALib,Name1_UALib,Name2_UALib,CAS_UALib,Formel_UALib,BPMZ_UALib,RT_UALib,RI_UALib,MW_UALib,Bem_UALib,MF_UALib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVMPUXDNESXNOH-UHFFFAOYSA-N,43,Tris(1-chloropropan-2-yl) phosphate,Tris(2-chloroisopropyl)phosphate,13674-84-5,C9H18Cl3O4P,125,20.3993,1814,326.0008292,"Std, LC",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QELBXOLVEDEBJG-UHFFFAOYSA-N   ,44,Bis(2-chloro-1-methylethyl) 3-chloropropyl phosphate,Bis(1-chloro-2-propyl)(3-chloro-1-propyl)phosphate,137909-40-1,C9H18Cl3O4P,99,20.5223,1798,326.000828,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_243_RI_1895,47,,GC_BPMZ_243_RI_1895,,,243,21.2992,1895,,ähnlich: Galaxolide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNJVILVZKWQKPM-UHFFFAOYSA-N,49,"2-(Diethylamino)-N-(2,6-dimethylphenyl)acetamide  ",Lidocaine,137-58-6,C14H22N2O,86,21.515,1912,234.1732133,std Arzeneistoff: örtliches Beteubungsmittel,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_243_RI_1928,50,,GC_BPMZ_243_RI_1928,,,243,21.6409,1928,,ähnlich: Galaxolide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFZHPFOXAAIUMB-UHFFFAOYSA-N,51,2-Ethyl-2-phenylpropanediamide,2-Phenyl-2-ethylmalondiamide,7206-76-0,C11H14N2O2,163,21.7586,1916,206.1055277,PEMA,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYAUGQHXQRQQPB-UHFFFAOYSA-N  ,53,,"8-Ethyl-4,6,6,8-tetramethyl-3,4,6,7-tetrahydro-1H-cyclopenta(G)-2-benzopyran",78448-49-4,C18H26O,229,22.2839,1951,258.198366,Nist: 1000432-48-9,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGCITODQASXKH-UHFFFAOYSA-N,54,Methyl(oxo)diphenyl-lambda~5~-phosphane,"Phosphine oxide, diphenylmethyl-",2129-89-7,C13H13OP,215,22.5929,2029,216.070402,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VQRPJMVGRQQVKI-UHFFFAOYSA-N   ,57,1-[(4-Methylphenyl)sulfonyl]-2-pyrrolidinylamine,"Pyrrolidin-2-amine, 1-(4-methylphenylsulfonyl)-",1000267-40-2,C11H16N2O2S,120,23.6438,2111,240.093248,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLVJNFWTMYFRL-UHFFFAOYSA-N,60,"5-[(3-Hydroxyphenyl)methylidene]-2,2-dimethyl-1,3-dioxane-4,6-dione","5-(3-Hydroxybenzylidene)-2,2-dimethyl-1,3-dioxane-4,6-dione",15795-58-1,C13H12O5,190,25.2393,2283,248.0684735,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFGPTBGBLSHEPO-UHFFFAOYSA-N,61,"5H-Dibenzo[b,f]azepine-5-carboxamide",Carbamazepine,298-46-4,C15H12N2O,193,26.0001,2314,236.094963,"std, Antiepileptika",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTRLABGOLIVAIY-UHFFFAOYSA-N,64,"10-Oxo-10,11-dihydro-5H-dibenzo[b,f]azepine-5-carboxamide",Oxcarbazepine,28721-07-5,C15H12N2O2,180,26.7932,2490,252.0898776,Trileptal,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
