Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.12391978891022,61.0999984741211,2373-51-5,696,781.325628571713,77.8105876530651,Chloromethylmethyl sulfide,C2H5ClS,NIST17.L,100504.637796728,68078.5413701175,Blank,BW_2021_09_16
True,4.13072684037908,166,127-18-4,814,781.677383879724,96.0922129132348,Tetrachloroethylene,C2Cl4,NIST17.L,421066.739068146,55160.7111588661,Blank,BW_2021_09_16
True,4.28141670705093,56.0999984741211,16063-24-4,324,789.464303180655,75.5381118865794,"Propane, 1,2-bis(difluoroamino)-2-methyl-",C4H8F4N2,NIST17.L,132527.102865661,35982.7283529641,Blank,BW_2021_09_16
True,4.28632576313737,56,111-95-5,1121,789.717979319822,68.8316896586905,Bis-(2-methoxyethyl)-amine,C6H15NO2,NIST17.L,51227.6680798821,35998.144803736,Blank,BW_2021_09_16
True,4.34076174106619,70.0999984741211,3273-14-1,1095,792.530965863383,87.4166757825474,"1-(2-Hydroxyethyl)-1,2,4-triazole",C4H7N3O,NIST17.L,1057175.68995094,583430.282703729,Blank,BW_2021_09_16
True,4.42575329940055,206.900009155273,541-05-9,851,796.92291616918,93.2269677668642,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,NIST17.L,167351.995412061,81762.9502562181,Blank,BW_2021_09_16
True,4.47549486878057,89,21983-72-2,821,799.493318514199,67.2635846798967,"3,3-Dimethoxy-2-butanone",C6H12O3,NIST17.L,67010.6389274197,27648.9535076155,Blank,BW_2021_09_16
True,4.5590302838928,83.0999984741211,1678-91-7,836,803.810022421471,89.6229983110789,"Cyclohexane, ethyl-",C8H16,NIST17.L,79467.780535434,33120.5996325512,Blank,BW_2021_09_16
True,4.87780659318169,89,6607-66-5,860,820.282831445098,80.1552973858361,"1,3,3-Trimethoxybutane",C7H16O3,NIST17.L,184848.608510409,71306.2955507263,Blank,BW_2021_09_16
True,4.95054175963192,88.0999984741211,1000420-26-9,1103,824.041431037738,66.0852138254103,"Carbonic acid, monoamide, N-3-methylbutyl-, methyl ester",C7H15NO2,NIST17.L,9300.13024104475,6015.05366906742,Blank,BW_2021_09_16
True,5.15671781951723,91,100-41-4,855,834.695606899522,97.523044968746,Ethylbenzene,C8H10,NIST17.L,2105548.16943377,1186722.66009712,Blank,BW_2021_09_16
True,5.3239322648604,77.0999984741211,1557-59-1,1124,843.336436044808,56.1252579853965,"cis,cis-1,4-Dicyano-1,3-butadiene",C6H4N2,NIST17.L,1227148.14157931,394098.533529618,Blank,BW_2021_09_16
True,5.32610211345287,91,108-38-3,866,843.448563265157,97.0564795207838,"Benzene, 1,3-dimethyl-",C8H10,NIST17.L,9941004.17053517,4024337.3741553,Blank,BW_2021_09_16
True,5.46209349780172,88,80657-57-4,864,850.475936498239,50.14072546416,Methyl L-(+)-.beta.-hydroxyisobutyrate,C5H10O3,NIST17.L,23502.7854025825,9834.90497180171,Blank,BW_2021_09_16
