Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.08825531363819,55.0999984741211,96-33-3,571,784.920538124529,73.345951992308,"2-Propenoic acid, methyl ester",C4H6O2,NIST17.L,65885.3298862717,48224.7162133244,Blank,BW_2021_02_22
True,4.10250730177452,57.0999984741211,31124-39-7,1224,785.648389040753,60.4207885887841,"Sulfone, butyl propyl",C7H16O2S,NIST17.L,98193.5514787937,80551.2115132142,Blank,BW_2021_02_22
True,4.10452305932135,57,6982-25-8,773,785.751334044868,54.6687692796898,"DL-2,3-Butanediol",C4H10O2,NIST17.L,323181.34427989,80974.5872427063,Blank,BW_2021_02_22
True,4.1160964900129,97.0999984741211,1000256-32-9,2402,786.34239067866,57.3538926654766,2-Chloro-4-[[2-[1-pyrrolidinyl]ethyl]amino]quinazoline,C14H17ClN4,NIST17.L,486243.493076095,82277.2149040122,Blank,BW_2021_02_22
True,4.13145070341232,84,30727-23-2,1113,787.126532384628,61.4632556898331,2-Carbethoxy-N-methylpyrrolidine,C8H15NO2,NIST17.L,173313.713335398,100823.995300782,Blank,BW_2021_02_22
True,4.14211164010835,113.099998474121,1000156-87-2,2624,787.670987829565,58.3426569823384,"Piperazine-2,5-dione, 1,4-dimethyl-3,3'-bis-",C12H18N4O4,NIST17.L,49324.9852406519,27295.4429020884,Blank,BW_2021_02_22
True,4.14534438667031,111,58996-69-3,1096,787.836084623397,61.2442083693964,Methyl 2-methyloxane-2-carboxylate,C8H14O3,NIST17.L,291785.929003999,88420.9799823511,Blank,BW_2021_02_22
True,4.14625368671761,99.0999984741211,63915-88-8,949,787.882522696894,58.3488477201809,"2-Propen-1-ol, 2-bromo-, acetate",C5H7BrO2,NIST17.L,43684.8299252366,31906.0542584112,Blank,BW_2021_02_22
True,4.15666634195146,88,1000210-07-1,2284,788.41429837477,51.7651840135382,"Dimethyldithiocarbamic acid, S-(2-cyano-2-methyl-1-phenyl)vinyl ester",C13H14N2S2,NIST17.L,2110447.49503895,130522.028425015,Blank,BW_2021_02_22
True,4.21400092391821,71.0999984741211,5455-24-3,1088,791.342383047351,53.7085755766989,"4,5-Octanedione",C8H14O2,NIST17.L,59815.2763337972,5751.00552126863,Blank,BW_2021_02_22
True,4.26785899389706,84,461-58-5,866,794.092921793605,66.6249980539261,Dicyandiamide,C2H4N4,NIST17.L,54832.3753953956,43139.3750957033,Blank,BW_2021_02_22
True,4.28664566687543,91,50901-49-0,1554,795.052359663557,64.0771553349032,4-(2-Phenylethyl)pyridazine,C12H12N2,NIST17.L,5285.4638235586,7240.16185009809,Blank,BW_2021_02_22
True,4.41741780155989,86,64788-23-4,399,801.73090985151,70.1930305092227,"1,3-Butadiyne, 1,4-difluoro-",C4F2,NIST17.L,8816.15679794632,5345.26788574246,Blank,BW_2021_02_22
True,4.42752025370805,85,13478-20-1,451,802.246843416835,65.3918799970312,Phosphoryl fluoride,F3OP,NIST17.L,16626.8625524089,11997.2715791016,Blank,BW_2021_02_22
True,4.77105,206,1000305-92-1,1813,819.790952926108,57.1766274311316,"Pyrimidine-4-one-6-thione, 1-methyl-2-phenyl-",C10H10N2OS,NIST17.L,15362.5910435437,3513.49626194085,Blank,BW_2021_02_22
True,4.92057105107042,131,23612-49-9,1357,827.427012749852,57.0634329823991,"1H-Pyrrolo[2,3-b]pyridine, 2-ethyl-",C9H10N2,NIST17.L,2920.27223205286,791.045903266462,Blank,BW_2021_02_22
True,5.2649243423647,91,105-58-8,767,845.01318081115,80.9036136630975,Diethyl carbonate,C5H10O3,NIST17.L,241432.980775839,217989.511926359,Blank,BW_2021_02_22
True,5.28063801215959,106,943-80-6,1839,845.815680002704,67.4708952837053,p-Amino-L-phenylalanine,C9H12N2O2,NIST17.L,158754.892832931,144299.207832642,Blank,BW_2021_02_22
True,5.47270169619155,96.0999984741211,930-60-9,881,855.624397709926,59.9707886196226,"4-Cyclopentene-1,3-dione",C5H4O2,NIST17.L,7879.75595012004,3163.94469961548,Blank,BW_2021_02_22
True,5.49658428186279,83,22581-42-6,893,856.844084514063,61.7822806942634,"2-Pyrazoline, 4-ethyl-1-methyl-",C6H12N2,NIST17.L,10634.3511186203,4597.94511797071,Blank,BW_2021_02_22
True,5.600068213545,51,16525-39-6,1144,862.129022571042,57.0403364129592,"Hexanedinitrile, 2-methyl-",C7H10N2,NIST17.L,10798.5532855025,4277.31229760737,Blank,BW_2021_02_22
True,5.82624910852786,121,77846-90-3,1642,873.680110747006,60.0631673286519,"Benzoic acid, 4-hydroxy-, 2-hydroxypropyl ester",C10H12O4,NIST17.L,8229.19379307173,3899.65194129947,Blank,BW_2021_02_22
True,5.87534362265815,123,1000154-28-6,944,876.187374067004,87.3317272991276,"Cyclopentene, 1,2,3,4,5-pentamethyl-",C10H18,NIST17.L,1688852.37723973,629064.455926843,Blank,BW_2021_02_22
True,6.27853570745318,83,79-34-5,916,896.77844708257,87.5334006336023,"Ethane, 1,1,2,2-tetrachloro-",C2H2Cl4,NIST17.L,1562458.57993812,250914.338225586,Blank,BW_2021_02_22
True,6.34070968062658,69,73756-33-9,973,899.953680103158,62.3562529288775,"1-Methoxy-6,6-dimethyl-cyclohex-2-ene",C9H16O,NIST17.L,710768.25073059,47045.5790618146,Blank,BW_2021_02_22
True,6.35959070572113,84,1000366-03-8,1049,900.917936548143,73.9846685233984,1-(1'-pyrrolidinyl)-2-butanone,C8H15NO,NIST17.L,602316.755326268,252149.959347525,Blank,BW_2021_02_22
True,6.38461386876237,107.099998474121,103-86-6,1392,902.19587278919,50.6329179364207,Paradrine,C9H13NO,NIST17.L,287056.603114036,27571.4145662042,Blank,BW_2021_02_22
True,6.39641715208892,123,,908,902.798668027404,90.2551156952829,GC_BPMZ_123_RI_908,,Tesla_Libary_2021_01_01.mslibrary.xml,3693433.59274579,1552866.8689131,Blank,BW_2021_02_22
True,6.39855997133786,83,1820-80-0,1064,902.908102089426,65.061737055998,3-Aminopyrazole,C3H5N3,NIST17.L,159624.498263447,16003.665025877,Blank,BW_2021_02_22
True,6.4128382729534,81.0999984741211,13445-60-8,1671,903.637296838508,58.2204352770556,Furfurylmethylamphetamine,C15H19NO,NIST17.L,791274.657153184,417703.331641484,Blank,BW_2021_02_22
