Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.13709679499443,95.0999984741211,3194-17-0,1176,787.414879027343,56.9230941815323,"1-Pentanone, 1-(2-furanyl)-",C9H12O2,NIST17.L,169849.313583269,33804.2583659654,Blank,BW_2021_03_15
True,4.15769030287845,69,1000305-61-3,,788.466592194534,65.7827578418793,"3-Methyl-4-(phenylthio)-2-prop-2-enyl-2,5-dihydrothiophene 1,1-dioxide",C14H16O2S2,NIST20.L,2317929.73620753,89014.2207459768,Blank,BW_2021_03_15
True,4.15932452720102,85,1000192-73-9,1746,788.550052246502,50.6310972726114,"5,6,6-Trimethyl-5-(3-oxobut-1-enyl)-1-oxaspiro[2.5]octan-4-one",C14H20O3,NIST17.L,1224369.94856493,29520.1333589562,Blank,BW_2021_03_15
True,4.57801859522338,208,1000338-97-5,1168,809.93281359266,59.0587976899019,"6-Fluoro-2-trifluoromethylbenzoic acid, ethyl ester",C10H8F4O2,NIST17.L,460262.441275095,344514.173351131,Blank,BW_2021_03_15
True,4.79878092248404,91.0999984741211,100-41-4,855,821.207174799481,68.7204739320732,Ethylbenzene,C8H10,NIST17.L,161843.348728966,65276.3539990978,Blank,BW_2021_03_15
True,4.98088320211984,106,18115-70-3,,830.507162268699,71.6034630106038,"2,4-Pentanedione, ion(1-), lithium",C5H7LiO2,NIST20.L,367989.33145554,135341.089689442,Blank,BW_2021_03_15
True,4.98311998990105,91,108-38-3,866,830.621395316073,96.9947370588063,"Benzene, 1,3-dimethyl-",C8H10,NIST17.L,634277.071155259,214373.51053505,Blank,BW_2021_03_15
True,5.28415522096944,84.0999984741211,1000411-44-2,1098,845.995304321102,74.3718007053419,"6-Ethoxy-2,6-dihydropyran-3-one",C7H10O3,NIST17.L,17815.2906119369,9077.01533777565,Blank,BW_2021_03_15
True,5.54662540824925,91,108-38-3,866,859.399691446993,72.4050680550146,m-Xylene,C8H10,Tesla_Libary_2021_01_01.mslibrary.xml,138747.206120643,70477.5248856636,Blank,BW_2021_03_15
True,5.67189732779178,123,2896-60-8,1314,865.797344921295,78.1674345257446,"1,3-Benzenediol, 4-ethyl-",C8H10O2,NIST17.L,234132.381381219,132916.022897119,Blank,BW_2021_03_15
True,5.75286388316998,104,140-26-1,1490,869.93231759681,65.5930479148358,"Butanoic acid, 3-methyl-, 2-phenylethyl ester",C13H18O2,NIST17.L,63432.10406664,60282.785973251,Blank,BW_2021_03_15
True,5.78803711949754,104,1000325-03-7,2222,871.728619420996,85.165797923062,"Succinic acid, hexyl 2-phenylethyl ester",C18H26O4,NIST17.L,189337.575287274,192953.957873213,Blank,BW_2021_03_15
True,5.81700124938227,102,1003-10-7,912,873.207821359179,51.0243302432886,Dihydro-2(3H)-thiophenone,C4H6OS,NIST17.L,160845.843306994,60010.7439793703,Blank,BW_2021_03_15
True,5.85143711284243,103,100-42-5,893,874.966465453649,80.5039931655931,Styrene,C8H8,NIST17.L,1955930.8804712,442296.088869342,Blank,BW_2021_03_15
True,5.94295109832857,105,1118-64-5,1260,879.640096777658,66.9316546801345,Monoethyl carbonotrithioate,C3H6S3,NIST17.L,38708.6709974767,8566.44271637868,Blank,BW_2021_03_15
True,5.98774551136712,134,698-29-3,1371,881.927753367036,56.840299248111,"5-Pyrimidinecarbonitrile, 4-amino-2-methyl-",C6H6N4,NIST17.L,4885.55625586312,1449.92422189329,Blank,BW_2021_03_15
True,6.18059103951383,84.0999984741211,1000113-52-1,799,891.776399956447,78.958674796302,"2,3,3-Trimethyl-1-hexene",C9H18,NIST17.L,133411.761973257,45526.9599659206,Blank,BW_2021_03_15
True,6.18065176381731,84,1000152-79-7,905,891.779501154645,86.4953425915347,"Cyclopentane, 1,2,3,4,5-pentamethyl-",C10H20,NIST17.L,189619.999636925,45526.9599659206,Blank,BW_2021_03_15
True,6.22489312455182,123,1000154-28-6,944,894.038913289819,91.0313324845269,"Cyclopentene, 1,2,3,4,5-pentamethyl-",C10H18,NIST17.L,846529.270616309,310958.90490159,Blank,BW_2021_03_15
True,6.32595091087074,97.0999984741211,1455-20-5,1069,899.199947782702,73.7243566366832,"Thiophene, 2-butyl-",C8H12S,NIST17.L,8471.09341241056,12229.1348427828,Blank,BW_2021_03_15
True,6.50281686790676,83,1000309-30-8,1811,908.232515565246,74.4273118716735,"Oxalic acid, cyclohexyl hexyl ester",C14H24O4,NIST17.L,19790.7569756975,11917.7083344116,Blank,BW_2021_03_15
True,6.5877444282072,93.0999984741211,5638-76-6,1185,912.569777285225,60.1493371727911,Betahistine,C8H12N2,NIST17.L,12941.1468556043,7858.08523167413,Blank,BW_2021_03_15
True,6.88138233143367,87,35904-75-7,1630,927.565903780485,60.2669187987271,"Oxireno[4,5]cyclopenta[1,2-c]pyran-2(1aH)-one, hexahydro-5a,6-dihydroxy-1a-methyl-, (1a.alpha.,1b.beta.,5a.beta.,6.alpha.,6a.alpha.)-",C9H12O5,NIST17.L,26200.1480116159,13343.1980024016,Blank,BW_2021_03_15
True,6.90739765525369,70.0999984741211,74630-07-2,918,928.894509803527,79.497057652099,"Octane, 3-methyl-6-methylene-",C10H20,NIST17.L,110042.513015823,36066.4010078103,Blank,BW_2021_03_15
True,7.31915267563804,106,1000453-46-0,1674,949.92289307045,80.253045591716,"Phenylglyoxylic acid, pentyl ester",C13H16O3,NIST17.L,66705.1779412285,33115.0677745696,Blank,BW_2021_03_15
True,7.99230574665832,94,108-95-2,989,984.300909303275,64.2611770957213,Phenol,C6H6O,Tesla_Libary_2021_01_01.mslibrary.xml,29999.549338585,24993.3133500983,Blank,BW_2021_03_15
True,8.36515452523554,207,1000255-59-8,2972,1003.34234566319,50.9741638949993,3-Carbazolyl methyl ketone thiosemicarbazone,C15H14N4S,NIST17.L,56795.619417413,16615.2186410343,Blank,BW_2021_03_15
True,8.47647153959591,282.999969482422,5255-84-5,2435,1009.02732028698,64.3172707545498,5-Phenoxymethyl-3-(p-tolyl)-2-oxazolidone,C17H17NO3,NIST17.L,44227.2206217315,32233.7004953053,Blank,BW_2021_03_15
True,8.47654818440491,283,5255-84-5,2435,1009.03123454749,63.2509291842219,5-Phenoxymethyl-3-(p-tolyl)-2-oxazolidone,C17H17NO3,NIST17.L,15767.8949577046,10282.1803022463,Blank,BW_2021_03_15
